config,instance_file,count,best,median,avg,std,interquartile_range,outliers,avg_time

input/prob-software-85-100-812-12180.txt | ,prob-software-85-100-812-12180.txt,16,8943.0,6582.0,6829.0625,1217.8238771814804,2240.5,0,74.13451644778252
input/sukp03_100_100_0.10_0.75.txt | ,sukp03_100_100_0.10_0.75.txt,13,10680.0,8179.0,8039.7692307692305,1567.156137394854,3057.5,0,71.02736102617703
input/sukp06_200_200_0.10_0.75.txt | ,sukp06_200_200_0.10_0.75.txt,11,4209.0,2268.0,2474.3636363636365,886.2418713564907,1195.0,0,62.21444769339128
input/sukp12_400_400_0.10_0.75.txt | ,sukp12_400_400_0.10_0.75.txt,9,513.0,422.0,328.77777777777777,186.34898562762407,329.5,0,120.87807774543762
input/sukp18_100_100_0.15_0.85.txt | ,sukp18_100_100_0.15_0.85.txt,9,10869.0,10338.0,9487.444444444445,1429.282172203158,2840.5,0,63.12604469723172
input/sukp24_300_300_0.15_0.85.txt | ,sukp24_300_300_0.15_0.85.txt,9,1607.0,1120.0,1169.3333333333333,366.1598011797581,624.5,0,70.2632666958703
input/sukp29_500_485_0.15_0.85.txt | ,sukp29_500_485_0.15_0.85.txt,8,435.0,116.5,184.25,206.2001454897644,413.5,0,183.9537588953972

input/prob-software-85-100-812-12180.txt | Gen:20 | ,prob-software-85-100-812-12180.txt,16,8943.0,6582.0,6829.0625,1217.8238771814804,2240.5,0,74.13451644778252
input/sukp03_100_100_0.10_0.75.txt | Gen:20 | ,sukp03_100_100_0.10_0.75.txt,13,10680.0,8179.0,8039.7692307692305,1567.156137394854,3057.5,0,71.02736102617703
input/sukp06_200_200_0.10_0.75.txt | Gen:20 | ,sukp06_200_200_0.10_0.75.txt,11,4209.0,2268.0,2474.3636363636365,886.2418713564907,1195.0,0,62.21444769339128
input/sukp12_400_400_0.10_0.75.txt | Gen:20 | ,sukp12_400_400_0.10_0.75.txt,9,513.0,422.0,328.77777777777777,186.34898562762407,329.5,0,120.87807774543762
input/sukp18_100_100_0.15_0.85.txt | Gen:20 | ,sukp18_100_100_0.15_0.85.txt,9,10869.0,10338.0,9487.444444444445,1429.282172203158,2840.5,0,63.12604469723172
input/sukp24_300_300_0.15_0.85.txt | Gen:20 | ,sukp24_300_300_0.15_0.85.txt,9,1607.0,1120.0,1169.3333333333333,366.1598011797581,624.5,0,70.2632666958703
input/sukp29_500_485_0.15_0.85.txt | Gen:20 | ,sukp29_500_485_0.15_0.85.txt,8,435.0,116.5,184.25,206.2001454897644,413.5,0,183.9537588953972

input/prob-software-85-100-812-12180.txt | Elite:0 | ,prob-software-85-100-812-12180.txt,1,8928.0,8928.0,8928.0,0.0,0.0,0,7.51282525062561
input/prob-software-85-100-812-12180.txt | Elite:1 | ,prob-software-85-100-812-12180.txt,15,8943.0,6524.0,6689.133333333333,1119.5402032382162,2053.0,0,78.57596252759298
input/sukp03_100_100_0.10_0.75.txt | Elite:0 | ,sukp03_100_100_0.10_0.75.txt,1,8179.0,8179.0,8179.0,0.0,0.0,0,8.929992198944092
input/sukp03_100_100_0.10_0.75.txt | Elite:1 | ,sukp03_100_100_0.10_0.75.txt,12,10680.0,7878.0,8028.166666666667,1636.257916618578,3242.25,0,76.20214176177979
input/sukp06_200_200_0.10_0.75.txt | Elite:0 | ,sukp06_200_200_0.10_0.75.txt,1,4209.0,4209.0,4209.0,0.0,0.0,0,29.458572387695312
input/sukp06_200_200_0.10_0.75.txt | Elite:1 | ,sukp06_200_200_0.10_0.75.txt,10,3288.0,2230.0,2300.9,710.5855879327822,1205.5,0,65.49003522396087
input/sukp12_400_400_0.10_0.75.txt | Elite:0 | ,sukp12_400_400_0.10_0.75.txt,1,106.0,106.0,106.0,0.0,0.0,0,111.23725771903992
input/sukp12_400_400_0.10_0.75.txt | Elite:1 | ,sukp12_400_400_0.10_0.75.txt,8,513.0,426.5,356.625,178.07457306260366,254.25,0,122.08318024873734
input/sukp18_100_100_0.15_0.85.txt | Elite:0 | ,sukp18_100_100_0.15_0.85.txt,1,10673.0,10673.0,10673.0,0.0,0.0,0,10.464389324188232
input/sukp18_100_100_0.15_0.85.txt | Elite:1 | ,sukp18_100_100_0.15_0.85.txt,8,10869.0,9798.0,9339.25,1452.1681081354577,2822.75,0,69.70875161886215
input/sukp24_300_300_0.15_0.85.txt | Elite:0 | ,sukp24_300_300_0.15_0.85.txt,1,1584.0,1584.0,1584.0,0.0,0.0,0,68.46628928184509
input/sukp24_300_300_0.15_0.85.txt | Elite:1 | ,sukp24_300_300_0.15_0.85.txt,8,1607.0,1102.0,1117.5,354.389212992882,521.0,0,70.48788887262344
input/sukp29_500_485_0.15_0.85.txt | Elite:0 | ,sukp29_500_485_0.15_0.85.txt,1,424.0,424.0,424.0,0.0,0.0,0,217.75285983085632
input/sukp29_500_485_0.15_0.85.txt | Elite:1 | ,sukp29_500_485_0.15_0.85.txt,7,435.0,0.0,150.0,196.6121393335959,382.0,0,179.1253159046173

input/prob-software-85-100-812-12180.txt | Mut:0.010 | ,prob-software-85-100-812-12180.txt,13,8943.0,6255.0,6618.538461538462,1164.8507497661533,1956.5,0,89.5420905993535
input/prob-software-85-100-812-12180.txt | Mut:0.050 | ,prob-software-85-100-812-12180.txt,1,7772.0,7772.0,7772.0,0.0,0.0,0,7.272495985031128
input/prob-software-85-100-812-12180.txt | Mut:0.100 | ,prob-software-85-100-812-12180.txt,2,8928.0,7726.0,7726.0,1699.8847019724603,0.0,0,7.416294693946838
input/sukp03_100_100_0.10_0.75.txt | Mut:0.010 | ,sukp03_100_100_0.10_0.75.txt,10,10680.0,7791.0,7862.7,1643.683603644232,2954.5,0,89.74178185462952
input/sukp03_100_100_0.10_0.75.txt | Mut:0.050 | ,sukp03_100_100_0.10_0.75.txt,1,10177.0,10177.0,10177.0,0.0,0.0,0,8.741397142410278
input/sukp03_100_100_0.10_0.75.txt | Mut:0.100 | ,sukp03_100_100_0.10_0.75.txt,2,8179.0,7856.5,7856.5,456.08387386532314,0.0,0,8.598238825798035
input/sukp06_200_200_0.10_0.75.txt | Mut:0.010 | ,sukp06_200_200_0.10_0.75.txt,8,3068.0,2136.0,2067.125,579.7719841208512,584.25,0,74.7496867775917
input/sukp06_200_200_0.10_0.75.txt | Mut:0.050 | ,sukp06_200_200_0.10_0.75.txt,1,3184.0,3184.0,3184.0,0.0,0.0,0,29.39871859550476
input/sukp06_200_200_0.10_0.75.txt | Mut:0.100 | ,sukp06_200_200_0.10_0.75.txt,2,4209.0,3748.5,3748.5,651.2453454728103,0.0,0,28.481355905532837
input/sukp12_400_400_0.10_0.75.txt | Mut:0.010 | ,sukp12_400_400_0.10_0.75.txt,6,513.0,401.0,319.5,193.99664945560272,323.25,0,128.19890622297922
input/sukp12_400_400_0.10_0.75.txt | Mut:0.050 | ,sukp12_400_400_0.10_0.75.txt,1,487.0,487.0,487.0,0.0,0.0,0,97.5857470035553
input/sukp12_400_400_0.10_0.75.txt | Mut:0.100 | ,sukp12_400_400_0.10_0.75.txt,2,449.0,277.5,277.5,242.5376259469858,0.0,0,110.56175768375397
input/sukp18_100_100_0.15_0.85.txt | Mut:0.010 | ,sukp18_100_100_0.15_0.85.txt,6,10869.0,8602.0,9000.166666666666,1549.2837592470485,3100.25,0,89.84214222431183
input/sukp18_100_100_0.15_0.85.txt | Mut:0.050 | ,sukp18_100_100_0.15_0.85.txt,1,10338.0,10338.0,10338.0,0.0,0.0,0,9.245128870010376
input/sukp18_100_100_0.15_0.85.txt | Mut:0.100 | ,sukp18_100_100_0.15_0.85.txt,2,10673.0,10524.0,10524.0,210.71782079359116,0.0,0,9.91821002960205
input/sukp24_300_300_0.15_0.85.txt | Mut:0.010 | ,sukp24_300_300_0.15_0.85.txt,6,1607.0,1102.0,1138.5,414.1153221024308,758.75,0,71.22637514273326
input/sukp24_300_300_0.15_0.85.txt | Mut:0.050 | ,sukp24_300_300_0.15_0.85.txt,1,1129.0,1129.0,1129.0,0.0,0.0,0,69.4310405254364
input/sukp24_300_300_0.15_0.85.txt | Mut:0.100 | ,sukp24_300_300_0.15_0.85.txt,2,1584.0,1282.0,1282.0,427.0924958366747,0.0,0,67.79005444049835
input/sukp29_500_485_0.15_0.85.txt | Mut:0.010 | ,sukp29_500_485_0.15_0.85.txt,5,382.0,0.0,123.0,176.47096078392048,307.5,0,183.95449261665345
input/sukp29_500_485_0.15_0.85.txt | Mut:0.050 | ,sukp29_500_485_0.15_0.85.txt,1,0.0,0.0,0.0,0.0,0.0,0,158.26029109954834
input/sukp29_500_485_0.15_0.85.txt | Mut:0.100 | ,sukp29_500_485_0.15_0.85.txt,2,435.0,429.5,429.5,7.7781745930520225,0.0,0,196.79865849018097

input/prob-software-85-100-812-12180.txt | Sel:tournament | ,prob-software-85-100-812-12180.txt,16,8943.0,6582.0,6829.0625,1217.8238771814804,2240.5,0,74.13451644778252
input/sukp03_100_100_0.10_0.75.txt | Sel:tournament | ,sukp03_100_100_0.10_0.75.txt,13,10680.0,8179.0,8039.7692307692305,1567.156137394854,3057.5,0,71.02736102617703
input/sukp06_200_200_0.10_0.75.txt | Sel:tournament | ,sukp06_200_200_0.10_0.75.txt,11,4209.0,2268.0,2474.3636363636365,886.2418713564907,1195.0,0,62.21444769339128
input/sukp12_400_400_0.10_0.75.txt | Sel:tournament | ,sukp12_400_400_0.10_0.75.txt,9,513.0,422.0,328.77777777777777,186.34898562762407,329.5,0,120.87807774543762
input/sukp18_100_100_0.15_0.85.txt | Sel:tournament | ,sukp18_100_100_0.15_0.85.txt,9,10869.0,10338.0,9487.444444444445,1429.282172203158,2840.5,0,63.12604469723172
input/sukp24_300_300_0.15_0.85.txt | Sel:tournament | ,sukp24_300_300_0.15_0.85.txt,9,1607.0,1120.0,1169.3333333333333,366.1598011797581,624.5,0,70.2632666958703
