config,instance_file,count,best,median,avg,std,interquartile_range,outliers,avg_time

input/prob-software-85-100-812-12180.txt | ,prob-software-85-100-812-12180.txt,143,11714.0,10497.0,8743.58041958042,3700.3392867137204,1420.0,34,45.87881118267566
input/sukp03_100_100_0.10_0.75.txt | ,sukp03_100_100_0.10_0.75.txt,1184,13803.0,12638.0,12573.565878378378,830.9488973718672,1228.0,16,9.435394629030615
input/sukp06_200_200_0.10_0.75.txt | ,sukp06_200_200_0.10_0.75.txt,1184,10104.0,7678.0,7721.80152027027,1467.9784284536083,1625.0,62,31.26818169492322
input/sukp12_400_400_0.10_0.75.txt | ,sukp12_400_400_0.10_0.75.txt,14,244.0,0.0,17.428571428571427,65.21174302663155,0.0,0,55.23934829235077
input/sukp18_100_100_0.15_0.85.txt | ,sukp18_100_100_0.15_0.85.txt,1180,13498.0,12176.0,12130.237288135593,667.7458476200686,903.0,0,8.737006232496036
input/sukp24_300_300_0.15_0.85.txt | ,sukp24_300_300_0.15_0.85.txt,9,84.0,0.0,9.333333333333334,28.0,0.0,0,57.47370847066244
input/sukp29_500_485_0.15_0.85.txt | ,sukp29_500_485_0.15_0.85.txt,9,0.0,0.0,0.0,0.0,0.0,0,70.07246565818787

input/prob-software-85-100-812-12180.txt | Alpha:0.95 | ,prob-software-85-100-812-12180.txt,143,11714.0,10497.0,8743.58041958042,3700.3392867137204,1420.0,34,45.87881118267566
input/sukp03_100_100_0.10_0.75.txt | Alpha:0.75 | ,sukp03_100_100_0.10_0.75.txt,300,13650.0,12617.0,12387.163333333334,903.4884251815362,962.0,16,9.677186529636383
input/sukp03_100_100_0.10_0.75.txt | Alpha:0.95 | ,sukp03_100_100_0.10_0.75.txt,884,13803.0,12638.0,12636.824660633483,795.5146270702196,1197.0,0,9.353338554164402
input/sukp06_200_200_0.10_0.75.txt | Alpha:0.75 | ,sukp06_200_200_0.10_0.75.txt,300,9514.0,7518.0,7475.9766666666665,1379.029202468082,2076.0,0,31.188003532886505
input/sukp06_200_200_0.10_0.75.txt | Alpha:0.95 | ,sukp06_200_200_0.10_0.75.txt,884,10104.0,7988.0,7805.226244343891,1488.507278129821,1567.0,39,31.295391478419845
input/sukp12_400_400_0.10_0.75.txt | Alpha:0.95 | ,sukp12_400_400_0.10_0.75.txt,14,244.0,0.0,17.428571428571427,65.21174302663155,0.0,0,55.23934829235077
input/sukp18_100_100_0.15_0.85.txt | Alpha:0.75 | ,sukp18_100_100_0.15_0.85.txt,300,13280.0,12006.0,12172.323333333334,593.0870139724001,937.0,0,8.758967339197795
input/sukp18_100_100_0.15_0.85.txt | Alpha:0.95 | ,sukp18_100_100_0.15_0.85.txt,880,13498.0,12176.0,12115.889772727272,691.0869382424161,903.0,0,8.729519491574981
input/sukp24_300_300_0.15_0.85.txt | Alpha:0.95 | ,sukp24_300_300_0.15_0.85.txt,9,84.0,0.0,9.333333333333334,28.0,0.0,0,57.47370847066244
input/sukp29_500_485_0.15_0.85.txt | Alpha:0.95 | ,sukp29_500_485_0.15_0.85.txt,9,0.0,0.0,0.0,0.0,0.0,0,70.07246565818787

input/prob-software-85-100-812-12180.txt | Beta:1.12 | ,prob-software-85-100-812-12180.txt,143,11714.0,10497.0,8743.58041958042,3700.3392867137204,1420.0,34,45.87881118267566
input/sukp03_100_100_0.10_0.75.txt | Beta:1.12 | ,sukp03_100_100_0.10_0.75.txt,8,12818.0,11352.0,11477.875,913.0251815491494,1791.25,0,30.002645760774612
input/sukp03_100_100_0.10_0.75.txt | Beta:1.50 | ,sukp03_100_100_0.10_0.75.txt,732,13803.0,12617.0,12544.33743169399,833.4669664754007,1228.0,16,9.348565132891546
input/sukp03_100_100_0.10_0.75.txt | Beta:2.00 | ,sukp03_100_100_0.10_0.75.txt,444,13747.0,12647.0,12641.495495495496,810.3697411436051,800.0,70,9.207964859030268
input/sukp06_200_200_0.10_0.75.txt | Beta:1.12 | ,sukp06_200_200_0.10_0.75.txt,8,1206.0,141.0,321.125,433.23383244089854,627.25,0,30.02189713716507
input/sukp06_200_200_0.10_0.75.txt | Beta:1.50 | ,sukp06_200_200_0.10_0.75.txt,732,9457.0,7477.0,7627.969945355191,1148.0715772828378,1889.0,0,31.259358316171365
input/sukp06_200_200_0.10_0.75.txt | Beta:2.00 | ,sukp06_200_200_0.10_0.75.txt,444,10104.0,8134.0,8009.842342342342,1577.9620761249005,1593.0,31,31.305183923996246
input/sukp12_400_400_0.10_0.75.txt | Beta:1.12 | ,sukp12_400_400_0.10_0.75.txt,8,0.0,0.0,0.0,0.0,0.0,0,30.0749833881855
input/sukp12_400_400_0.10_0.75.txt | Beta:1.50 | ,sukp12_400_400_0.10_0.75.txt,6,244.0,0.0,40.666666666666664,99.61258287318257,61.0,1,88.7918348312378
input/sukp18_100_100_0.15_0.85.txt | Beta:1.12 | ,sukp18_100_100_0.15_0.85.txt,4,12515.0,12475.0,12446.75,85.27748823693156,144.75,0,30.002940475940704
input/sukp18_100_100_0.15_0.85.txt | Beta:1.50 | ,sukp18_100_100_0.15_0.85.txt,732,13498.0,12006.0,12211.341530054644,668.5295240383368,1140.0,0,8.63894101342217
input/sukp18_100_100_0.15_0.85.txt | Beta:2.00 | ,sukp18_100_100_0.15_0.85.txt,444,13075.0,12176.0,11993.673423423423,647.0504944105381,842.0,0,8.707096330217412
input/sukp24_300_300_0.15_0.85.txt | Beta:1.12 | ,sukp24_300_300_0.15_0.85.txt,3,84.0,0.0,28.0,48.49742261192856,84.0,0,30.04714028040568
