config,instance_file,count,best,median,avg,std,interquartile_range,outliers,avg_time
input/prob-software-85-100-812-12180.txt | Initial temp:1000.000000 | ,prob-software-85-100-812-12180.txt,62,11714.0,11202.0,10896.822580645161,688.1033215448825,1139.75,0,12.058466119150962
input/prob-software-85-100-812-12180.txt | Initial temp:256.578451 | ,prob-software-85-100-812-12180.txt,2,11127.0,11127.0,11127.0,0.0,0.0,0,34.71097040176392
input/prob-software-85-100-812-12180.txt | Initial temp:270.564385 | ,prob-software-85-100-812-12180.txt,1,9815.0,9815.0,9815.0,0.0,0.0,0,90.00090169906616
input/prob-software-85-100-812-12180.txt | Initial temp:288.650758 | ,prob-software-85-100-812-12180.txt,2,10896.0,10896.0,10896.0,0.0,0.0,0,39.44493222236633
input/prob-software-85-100-812-12180.txt | Initial temp:304.384933 | ,prob-software-85-100-812-12180.txt,1,8795.0,8795.0,8795.0,0.0,0.0,0,90.00096392631531
input/prob-software-85-100-812-12180.txt | Initial temp:324.732103 | ,prob-software-85-100-812-12180.txt,2,10955.0,10955.0,10955.0,0.0,0.0,0,45.58626127243042
input/prob-software-85-100-812-12180.txt | Initial temp:342.433050 | ,prob-software-85-100-812-12180.txt,8,2834.0,2834.0,2666.75,473.0544366138003,0.0,0,90.00121679902077
input/prob-software-85-100-812-12180.txt | Initial temp:365.323615 | ,prob-software-85-100-812-12180.txt,10,11046.0,10836.5,10836.5,220.8323899350918,419.0,0,49.2412029504776
input/prob-software-85-100-812-12180.txt | Initial temp:385.237181 | ,prob-software-85-100-812-12180.txt,22,2913.0,1988.5,2078.5454545454545,643.7696813281925,1566.0,0,90.00159922513095
input/prob-software-85-100-812-12180.txt | Initial temp:410.989067 | ,prob-software-85-100-812-12180.txt,5,10540.0,10540.0,10540.0,0.0,0.0,0,54.15143704414368
input/prob-software-85-100-812-12180.txt | Initial temp:433.391828 | ,prob-software-85-100-812-12180.txt,4,2161.0,2161.0,2161.0,0.0,0.0,0,90.00144481658936
input/prob-software-85-100-812-12180.txt | Initial temp:520.158038 | ,prob-software-85-100-812-12180.txt,8,10381.0,10381.0,10381.0,0.0,0.0,0,62.87143921852112
input/prob-software-85-100-812-12180.txt | Initial temp:585.177793 | ,prob-software-85-100-812-12180.txt,16,10796.0,10646.5,10646.5,154.40293606880235,299.0,0,66.71046757698059
input/sukp02_100_85_0.10_0.75.txt | Initial temp:1000.000000 | ,sukp02_100_85_0.10_0.75.txt,63,13082.0,12421.0,12484.063492063493,363.9563015694672,702.0,0,15.235459127123393
input/sukp02_100_85_0.10_0.75.txt | Initial temp:1500.000000 | ,sukp02_100_85_0.10_0.75.txt,30,12719.0,12404.0,12055.233333333334,541.9716676227155,1227.0,0,17.23695889314016
input/sukp03_100_100_0.10_0.75.txt | Initial temp:1000.000000 | ,sukp03_100_100_0.10_0.75.txt,752,13803.0,12651.0,12647.086436170213,879.0540441248245,1114.0,18,9.172662277487998
input/sukp03_100_100_0.10_0.75.txt | Initial temp:500.000000 | ,sukp03_100_100_0.10_0.75.txt,198,13747.0,12594.0,12776.18686868687,562.9191775342446,1002.0,0,8.816532775609181
input/sukp03_100_100_0.10_0.75.txt | Initial temp:750.000000 | ,sukp03_100_100_0.10_0.75.txt,234,13650.0,12064.0,12165.846153846154,726.5377194439689,1384.0,0,10.803383412524166
