gen,top5,avg,med,std,unique_fitness,unique_individuals,unique_phenotypes
0,"1480,1309,1276,1156,1137",336.27,255.00,285.44,56,200,59
1,"1684,1684,1648,1458,1445",625.28,573.50,411.35,98,200,101
2,"1929,1926,1908,1895,1837",1004.67,1079.00,418.23,104,200,108
3,"2647,2647,2407,2335,2203",1280.03,1317.00,482.91,106,200,110
4,"3006,3006,2683,2647,2647",1554.83,1571.00,518.20,120,200,124
5,"3141,3006,3006,3006,3006",1725.88,1733.00,605.33,116,200,121
6,"3179,3141,3006,3006,3006",2226.94,2367.00,631.19,78,200,80
7,"3507,3443,3179,3179,3179",2518.05,2647.00,562.86,61,200,63
8,"3507,3507,3443,3443,3443",2631.46,2770.00,604.60,64,200,64
9,"3800,3800,3557,3557,3557",2769.07,2905.00,649.77,54,200,54
10,"3935,3800,3800,3800,3800",2978.59,3179.00,680.82,46,200,46
11,"3935,3935,3935,3935,3935",3325.55,3443.00,554.89,32,200,33
12,"3935,3935,3935,3935,3935",3466.10,3557.00,596.98,27,200,27
13,"3935,3935,3935,3935,3935",3552.84,3800.00,689.74,24,200,24
14,"4209,3935,3935,3935,3935",2843.47,3852.00,1569.57,38,200,39
15,"4209,4209,4209,4209,4209",2090.15,1564.50,1795.69,43,200,46
16,"4209,4209,4209,4209,4209",2183.22,2038.00,1812.25,47,200,47
17,"4209,4209,4209,4209,4209",2071.05,1372.50,1856.64,31,200,31
18,"4209,4209,4209,4209,4209",1946.11,688.00,1845.82,42,200,43
19,"4209,4209,4209,4209,4209",1858.91,653.50,1816.38,48,200,49
