run_id,instance_file,run_seed,solution,benefit,initial_sol,initial_sol_neighborhood,generations,elite_number,parents_per_generation,parents_survive,parent_selection,two_offsprings,crossover_points,mutation_rate,mutations_per_gene,start_time,time,evaluations,capacity_used,timestamp
genetic_algorithm_0,input/prob-software-85-100-812-12180.txt,0,1247843554644384094781558472687,6640,1247683976436198066638847721467,[],20,1,100,True,tournament,True,[],0.01,1,1760306643.5259266,90.17181468009949,1513,12110,2025-10-12T19:05:33.697876
genetic_algorithm_1,input/prob-software-85-100-812-12180.txt,1,1163034296549142205530767196091,5499,1185767625803719449843347685243,[],20,1,100,True,tournament,True,[],0.01,1,1760306733.6983945,90.1607403755188,1311,12180,2025-10-12T19:07:03.859250
genetic_algorithm_2,input/prob-software-85-100-812-12180.txt,2,1222155543333594056233166167407,7112,1222155392182126020173779152351,[],20,1,100,True,tournament,True,[],0.01,1,1760306823.8595192,90.16172337532043,1715,11854,2025-10-12T19:08:34.021331
genetic_algorithm_3,input/prob-software-85-100-812-12180.txt,3,950351074944469273750264337055,5418,948251151317204479239905946523,[],20,1,100,True,tournament,True,[],0.01,1,1760306914.0215693,90.16302704811096,1715,12282,2025-10-12T19:10:04.184704
genetic_algorithm_4,input/prob-software-85-100-812-12180.txt,4,1022151400592269134119532754879,5725,1022149908324460547036766273403,[],20,1,100,True,tournament,True,[],0.01,1,1760307004.1849422,90.13932800292969,1311,12026,2025-10-12T19:11:34.324373
genetic_algorithm_5,input/sukp03_100_100_0.10_0.75.txt,0,1247843387228007065904218073967,8222,1247686394286540258654758486011,[],20,1,100,True,tournament,True,[],0.01,1,1760307094.5986764,90.18957018852234,3331,11166,2025-10-12T19:13:04.788432
genetic_algorithm_6,input/sukp03_100_100_0.10_0.75.txt,1,1188166135810644935368133934971,6128,554340835696311794095057993595,[],20,1,100,True,tournament,True,[],0.01,1,1760307184.7887828,90.18980240821838,2523,11275,2025-10-12T19:14:34.978734
genetic_algorithm_7,input/prob-software-85-100-812-12180.txt,0,1247843554644384094781558472687,6640,1247683976436198066638847721467,[],20,1,100,True,tournament,True,[],0.01,1,1760308857.5991478,90.16173815727234,1513,12110,2025-10-12T19:42:27.761022
genetic_algorithm_8,input/sukp03_100_100_0.10_0.75.txt,0,1247843387228007065904218073967,8222,1247686394286540258654758486011,[],20,1,100,True,tournament,True,[],0.01,1,1760308947.9085348,90.22448897361755,3331,11166,2025-10-12T19:43:58.133461
genetic_algorithm_9,input/sukp06_200_200_0.10_0.75.txt,0,702210744116388991185718211942203795200595428199200947420623,1056,702210744116392381455045630822717941479256186772841790684623,[],20,1,100,True,tournament,True,[],0.01,1,1760309038.3988593,90.66556525230408,705,26434,2025-10-12T19:45:29.064629
genetic_algorithm_10,input/prob-software-85-100-812-12180.txt,0,1247224584624742167939796424191,6255,1247683976436198066638847721467,[],20,1,100,True,tournament,True,[],0.01,1,1760309401.6961591,90.17710614204407,1311,12014,2025-10-12T19:51:31.873414
genetic_algorithm_11,input/sukp03_100_100_0.10_0.75.txt,0,1267340480779393605756598845431,6455,1247686394286540258654758486011,[],20,1,100,True,tournament,True,[],0.01,1,1760309491.9797776,90.19115662574768,2523,11357,2025-10-12T19:53:02.171056
genetic_algorithm_12,input/sukp06_200_200_0.10_0.75.txt,0,702210896024867051817829742846882029996654141419143320026575,1989,702210744116392381455045630822717941479256186772841790684623,[],20,1,100,True,tournament,True,[],0.01,1,1760309582.324772,90.6233217716217,2927,25594,2025-10-12T19:54:32.948299
genetic_algorithm_13,input/prob-software-85-100-812-12180.txt,0,1247224584624742167939796424191,6255,1247683976436198066638847721467,[],20,1,100,True,tournament,True,[],0.01,1,1760312084.627751,90.17257118225098,1311,12014,2025-10-12T20:36:14.800463
genetic_algorithm_14,input/sukp03_100_100_0.10_0.75.txt,0,1267340480779393605756598845431,6455,1247686394286540258654758486011,[],20,1,100,True,tournament,True,[],0.01,1,1760312174.9669857,90.19576287269592,2523,11357,2025-10-12T20:37:45.162934
genetic_algorithm_15,input/sukp06_200_200_0.10_0.75.txt,0,702210896024867051823274260717617045412068135138051611409871,2192,702210744116392381455045630822717941479256186772841790684623,[],20,1,100,True,tournament,True,[],0.01,1,1760312265.3170698,90.61438798904419,2927,25891,2025-10-12T20:39:15.931697
genetic_algorithm_16,input/sukp12_400_400_0.10_0.75.txt,0,0,0,1281014629566529298764550674152911325590454724969325788054086471079329008035021793542321875556197070607801999671349458942,[],20,1,100,True,tournament,True,[],0.01,1,1760312356.0600035,90.50759434700012,301,0,2025-10-12T20:40:46.567818
genetic_algorithm_17,input/sukp18_100_100_0.15_0.85.txt,0,1247843558416724186274675556347,9258,1247843554791961432031592710139,[],20,1,100,True,tournament,True,[],0.01,1,1760312446.7267115,90.20926713943481,1513,15166,2025-10-12T20:42:16.936093
genetic_algorithm_18,input/sukp24_300_300_0.15_0.85.txt,0,1018517016351093245097869767858575759402490223877145643040849736619477012374146037112106751,1579,1010559844568536658823384494386559974469166613709133087138756483892641931171335737662500607,[],20,1,100,True,tournament,True,[],0.01,1,1760312537.0889926,70.465083360672,4240,45672,2025-10-12T20:43:27.554487
genetic_algorithm_19,input/sukp29_500_485_0.15_0.85.txt,0,0,0,49557710578540883800006047040362182292577186422743068694273817710385065770294153525276172348884129342154087462995937149252768778968291896300909567,[],20,1,100,True,tournament,True,[],0.01,1,1760312607.7317238,91.2405800819397,301,0,2025-10-12T20:44:58.972630
genetic_algorithm_20,input/prob-software-85-100-812-12180.txt,5,1178402250892990120214979837925,5504,861489600835918747523168924571,[],20,1,100,True,tournament,True,[],0.01,1,1760312954.843709,210.32262778282166,1513,13241,2025-10-12T20:52:45.173171
genetic_algorithm_21,input/sukp03_100_100_0.10_0.75.txt,2,1223083846936018458851155885951,9143,1222464877191947365224250322399,[],20,1,100,True,tournament,True,[],0.01,1,1760313165.496821,210.19932579994202,2725,11600,2025-10-12T20:56:15.696343
genetic_algorithm_22,input/sukp06_200_200_0.10_0.75.txt,1,558649733826923578228734692798432162517194061496628740602287,2285,558649733826923578228734692792814183043293024344137608968623,[],20,1,100,True,tournament,True,[],0.01,1,1760313375.9109797,31.41840100288391,4240,25329,2025-10-12T20:56:47.329544
genetic_algorithm_23,input/sukp12_400_400_0.10_0.75.txt,1,1834902175757653076686745145286673330547969962947865850143012776728017399358363342257566687657130970419944426947785751231,380,1834902175757653076686745145286673330547969962947865850143012776728017399358363342275886114962176231457222005978459765439,[],20,1,100,True,tournament,True,[],0.01,1,1760313407.4868224,133.5009605884552,4240,49183,2025-10-12T20:59:00.988182
genetic_algorithm_24,input/sukp18_100_100_0.15_0.85.txt,1,1262678099436918633554182602747,7330,1264995789536045357191518945275,[],20,1,100,True,tournament,True,[],0.01,1,1760313541.1223614,210.26104164123535,1715,15164,2025-10-12T21:02:31.383528
