Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,3 2 4 5 1 0,10.79669127533634,14,0.95,1.854924966246581e-24,1000,,,
RRT,0,3 2 4 5 1 0,10.79669127533634,14,0.125,,,,4.40850948675611,
GDA,0,3 2 4 5 1 0,10.79669127533634,14,,,,0.0019356451097651516,,16.265225857357937
SA,1,3 2 4 5 1 0,10.79669127533634,14,0.95,8.20997421697199e-24,1000,,,
RRT,1,3 2 4 5 1 0,10.79669127533634,14,0.125,,,,1.924547353922335,
GDA,1,3 2 4 5 1 0,10.79669127533634,14,,,,0.0019356451097651516,,17.414999052557928
SA,2,3 2 4 5 1 0,10.79669127533634,14,0.95,3.825019333019755e-23,1000,,,
RRT,2,3 2 4 5 1 0,10.79669127533634,14,0.125,,,,1.935542591375002,
GDA,2,3 2 4 5 1 0,10.79669127533634,14,,,,0.0019356451097651516,,17.34338018349665
SA,3,3 2 4 5 1 0,10.79669127533634,14,0.95,5.174331404100857e-24,1000,,,
RRT,3,3 2 4 5 1 0,10.79669127533634,14,0.125,,,,4.113621599388816,
GDA,3,3 2 4 5 1 0,10.79669127533634,14,,,,0.0019356451097651516,,17.107231480105405
SA,4,3 2 4 5 1 0,10.79669127533634,14,0.95,5.0272316103575586e-20,1000,,,
RRT,4,3 2 4 5 1 0,10.79669127533634,14,0.125,,,,2.793923147602376,
GDA,4,3 2 4 5 1 0,10.79669127533634,14,,,,0.0019356451097651516,,17.418870342777456
