Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 5, 5, 2, 3, 3, 9, 9
RRT,0,[],7, 5, 2, 3, 9, 9, 9, 0
GDA,0,[],3, 3, 9, 9, 2, 2, 2, 4
SA,1,[],7, 5, 5, 2, 9, 0, 0, 0
RRT,1,[],7, 5, 5, 2, 3, 9, 9, 9
GDA,1,[],3, 9, 2, 2, 2, 5, 4, 0
SA,2,[],5, 2, 3, 3, 3, 3, 9, 9
RRT,2,[],3, 9, 2, 2, 2, 9, 4, 0
GDA,2,[],7, 6, 8, 5, 5, 2, 3, 9
SA,3,[],3, 9, 2, 2, 2, 2, 0, 0
RRT,3,[],5, 2, 9, 3, 3, 4, 4, 4
GDA,3,[],8, 6, 7, 5, 2, 3, 9, 0
SA,4,[],6, 8, 5, 2, 3, 9, 9, 9
RRT,4,[],7, 7, 5, 2, 3, 9, 9, 4
GDA,4,[],6, 8, 2, 2, 3, 9, 9, 9
